"genero","idade","curso","periodo","satisfacao","abandono","animacao","descrente potencial","descrente estudos","possui dificuldade"
"Masculino","de 21 a 25","Ciência da Computação","7","Indiferente","Discordo completamente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 16 a 20","Ciência da Computação","7","Discordo completamente","Concordo parcialmente","Discordo completamente","Discordo parcialmente","Concordo parcialmente","Concordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","7","Discordo parcialmente","Concordo completamente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 26 a 30","Ciência da Computação","6","Concordo parcialmente","Indiferente","Indiferente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","7","Discordo completamente","Concordo parcialmente","Concordo parcialmente","nada","Discordo parcialmente","Concordo parcialmente"
"Feminino","de 21 a 25","Engenharia Elétrica","4","Concordo parcialmente","Indiferente","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente"
"Masculino","de 16 a 20","Ciência da Computação","3","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo completamente","Concordo completamente","Indiferente"
"Masculino","de 16 a 20","Ciência da Computação","3","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Discordo completamente","Discordo parcialmente"
"Masculino","de 26 a 30","Ciência da Computação","7","Concordo completamente","Discordo completamente","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente"
"Masculino","de 16 a 20","Ciência da Computação","3","Concordo completamente","Discordo completamente","Concordo completamente","Concordo parcialmente","Discordo completamente","Discordo completamente"
"Masculino","de 21 a 25","Engenharia Elétrica","11","Discordo parcialmente","Discordo completamente","Indiferente","Discordo completamente","Discordo completamente","Indiferente"
"Feminino","de 21 a 25","Ciência da Computação","5","Concordo parcialmente","Concordo parcialmente","Discordo parcialmente","Concordo completamente","Concordo completamente","Concordo completamente"
"Prefiro não informar","de 16 a 20","Ciência da Computação","3","Indiferente","Discordo parcialmente","Discordo completamente","Concordo parcialmente","Discordo parcialmente","Concordo parcialmente"
"Masculino","de 21 a 25","Ciência da Computação","6","Concordo parcialmente","Discordo completamente","Indiferente","Discordo parcialmente","Discordo parcialmente","Discordo parcialmente"
"Masculino","de 21 a 25","Engenharia Elétrica","8","Concordo parcialmente","Discordo completamente","Concordo parcialmente","Discordo parcialmente","Discordo completamente","Discordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","7","Concordo completamente","Discordo completamente","Concordo parcialmente","Concordo parcialmente","Concordo parcialmente","Discordo completamente"
"Masculino","de 21 a 25","Ciência da Computação","5","Discordo parcialmente","Concordo parcialmente","Concordo parcialmente","Concordo completamente","Indiferente","Discordo parcialmente"
