,idade,periodo,score,exaustao_emocional,descrenca,satisfacao_pessoal
0,2,7,0.4166666666666667,0.9375,0.75,0.9583333333333334
1,1,7,0.20833333333333334,0.6875,0.875,0.8333333333333334
2,2,7,0.16666666666666666,0.6875,0.75,0.875
3,3,6,0.4166666666666667,0.8125,0.75,1.0416666666666667
4,2,7,0.5416666666666666,0.75,1.125,0.9583333333333334
5,2,4,0.5416666666666666,0.8125,0.875,1.0833333333333333
6,1,3,0.5,1.0,0.625,1.0833333333333333
7,1,3,0.75,1.0625,0.9375,1.0833333333333333
8,3,7,0.4583333333333333,0.875,0.75,1.0416666666666667
9,1,3,0.875,1.125,0.9375,1.1666666666666667
10,2,11,0.7083333333333334,1.0,1.125,0.9583333333333334
11,2,5,0.20833333333333334,0.6875,0.625,1.0
12,1,3,0.4166666666666667,0.875,0.875,0.9166666666666666
13,2,6,0.75,1.0625,1.0,1.0416666666666667
14,2,8,0.875,1.125,1.0625,1.0833333333333333
15,2,7,0.7083333333333334,1.125,0.75,1.125
16,2,5,0.4166666666666667,0.875,0.75,1.0
17,2,6,0.9583333333333334,1.125,1.125,1.125
18,2,7,0.5833333333333334,1.0625,0.625,1.125
19,2,5,0.25,0.75,0.625,1.0
20,3,6,0.4166666666666667,1.0625,0.625,0.9583333333333334
21,3,6,0.75,0.9375,1.0625,1.0833333333333333
22,4,6,0.6666666666666666,0.9375,0.9375,1.0833333333333333
23,2,8,0.7916666666666666,1.0625,1.125,1.0
24,2,6,0.5,0.8125,0.8125,1.0833333333333333
25,2,8,0.5,0.875,0.75,1.0833333333333333
26,1,3,0.25,0.8125,0.6875,0.9166666666666666
27,2,2,0.75,1.0,0.9375,1.125
28,2,3,0.5833333333333334,0.875,0.75,1.1666666666666667
29,1,1,0.5,0.8125,0.875,1.0416666666666667
30,1,1,0.7083333333333334,1.0,0.9375,1.0833333333333333
31,2,1,0.4583333333333333,0.875,0.6875,1.0833333333333333
32,1,1,0.625,1.0625,0.75,1.0833333333333333
33,2,6,0.20833333333333334,0.6875,0.8125,0.875
34,2,1,0.9583333333333334,1.0625,1.125,1.1666666666666667
35,2,2,0.4583333333333333,0.75,0.875,1.0416666666666667
36,5,3,0.875,0.9375,1.125,1.1666666666666667
37,2,7,0.7083333333333334,0.875,1.0625,1.0833333333333333
38,1,1,0.7916666666666666,0.9375,1.125,1.0833333333333333
39,1,5,0.25,0.75,0.625,1.0
40,1,1,0.7083333333333334,1.0625,0.875,1.0833333333333333
41,1,7,0.4583333333333333,0.9375,0.75,1.0
42,1,1,0.75,1.125,0.75,1.1666666666666667
43,2,9,0.7916666666666666,1.0,1.0,1.125
44,2,11,0.5416666666666666,0.9375,0.8125,1.0416666666666667
45,2,7,0.875,0.9375,1.125,1.1666666666666667
46,2,5,0.125,0.625,0.6875,0.9166666666666666
47,1,7,0.5416666666666666,0.9375,0.625,1.1666666666666667
48,2,9,0.7916666666666666,1.125,0.875,1.125
49,2,7,0.4166666666666667,0.8125,0.75,1.0416666666666667
50,2,6,0.5833333333333334,0.9375,0.875,1.0416666666666667
51,1,1,0.4583333333333333,0.875,0.6875,1.0833333333333333
52,2,5,0.625,0.9375,0.875,1.0833333333333333
53,2,3,0.4166666666666667,0.8125,0.6875,1.0833333333333333
54,1,5,0.375,0.8125,0.6875,1.0416666666666667
55,1,5,0.2916666666666667,0.625,0.9375,0.9166666666666666
56,2,5,0.7916666666666666,1.0,1.125,1.0416666666666667
57,2,4,0.5833333333333334,0.9375,0.875,1.0416666666666667
